date_id,year,month,day,quarter
20181231,2018,12,31,4
20190107,2019,1,7,1
20190114,2019,1,14,1
20190204,2019,2,4,1
20190211,2019,2,11,1
20190218,2019,2,18,1
20190225,2019,2,25,1
20190304,2019,3,4,1
20190318,2019,3,18,1
20190408,2019,4,8,2
20190415,2019,4,15,2
20190422,2019,4,22,2
20190429,2019,4,29,2
20190506,2019,5,6,2
20190513,2019,5,13,2
20190520,2019,5,20,2
20190527,2019,5,27,2
20190610,2019,6,10,2
20190617,2019,6,17,2
20190624,2019,6,24,2
20190701,2019,7,1,3
20190715,2019,7,15,3
20190722,2019,7,22,3
20190729,2019,7,29,3
20190805,2019,8,5,3
20190812,2019,8,12,3
20190819,2019,8,19,3
20190826,2019,8,26,3
20190916,2019,9,16,3
20190923,2019,9,23,3
20190930,2019,9,30,3
20191007,2019,10,7,4
20191014,2019,10,14,4
20191021,2019,10,21,4
20191028,2019,10,28,4
20191111,2019,11,11,4
20191119,2019,11,19,4
20191121,2019,11,21,4
20191120,2019,11,20,4
20191118,2019,11,18,4
20191122,2019,11,22,4
20191124,2019,11,24,4
20191123,2019,11,23,4
20190913,2019,9,13,3
20190914,2019,9,14,3
20190405,2019,4,5,2
20190201,2019,2,1,1
20180101,2018,1,1,1
20180108,2018,1,8,1
20180115,2018,1,15,1
20180202,2018,2,2,1
20180203,2018,2,3,1
20180205,2018,2,5,1
20180212,2018,2,12,1
20180219,2018,2,19,1
20180226,2018,2,26,1
20180305,2018,3,5,1
20180319,2018,3,19,1
20180406,2018,4,6,2
20180407,2018,4,7,2
20180409,2018,4,9,2
20180416,2018,4,16,2
20180423,2018,4,23,2
20180430,2018,4,30,2
20180507,2018,5,7,2
20180514,2018,5,14,2
20180521,2018,5,21,2
20180528,2018,5,28,2
20180611,2018,6,11,2
20180618,2018,6,18,2
20180625,2018,6,25,2
20180702,2018,7,2,3
20180716,2018,7,16,3
20180723,2018,7,23,3
20180730,2018,7,30,3
20180806,2018,8,6,3
20180813,2018,8,13,3
20180820,2018,8,20,3
20180827,2018,8,27,3
20180914,2018,9,14,3
20180915,2018,9,15,3
20180917,2018,9,17,3
20180924,2018,9,24,3
20181001,2018,10,1,4
20181008,2018,10,8,4
20181015,2018,10,15,4
20181022,2018,10,22,4
20181029,2018,10,29,4
20181105,2018,11,5,4
20181112,2018,11,12,4
20181123,2018,11,23,4
20171113,2017,11,13,4
20171106,2017,11,6,4
20170904,2017,9,4,3
20171120,2017,11,20,4
20170522,2017,5,22,2
20170529,2017,5,29,2
20170911,2017,9,11,3
20171002,2017,10,2,4
20171009,2017,10,9,4
20170213,2017,2,13,1
20170130,2017,1,30,1
20170220,2017,2,20,1
20170206,2017,2,6,1
20170227,2017,2,27,1
20170306,2017,3,6,1
20170320,2017,3,20,1
20170327,2017,3,27,1
20171030,2017,10,30,4
20170918,2017,9,18,3
20170925,2017,9,25,3
