id_player,name,sex,country,birth_year
105453,Kei Nishikori,M,JPN,1989
106421,Daniil Medvedev,M,RUS,1995
104542,Jo-Wilfried Tsonga,M,FRA,1985
104871,Jeremy Chardy,M,FRA,1986
200282,Alex De Minaur,M,AUS,1999
105683,Milos Raonic,M,CAN,1990
106034,Yasutaka Uchiyama,M,JPN,1992
105777,Grigor Dimitrov,M,BUL,1991
106121,Taro Daniel,M,JPN,1993
111442,Jordan Thompson,M,AUS,1994
104918,Andy Murray,M,GBR,1987
200175,Miomir Kecmanovic,M,SRB,1999
106401,Nick Kyrgios,M,AUS,1995
106378,Kyle Edmund,M,GBR,1995
105357,John Millman,M,AUS,1989
106045,Denis Kudla,M,USA,1992
106423,Thanasi Kokkinakis,M,AUS,1996
106109,Alex Bolt,M,AUS,1992
200615,Alexei Popyrin,M,AUS,1999
105902,James Duckworth,M,AUS,1991
104919,Leonardo Mayer,M,ARG,1987
105379,Aljaz Bedene,M,SLO,1989
105992,Ryan Harrison,M,USA,1992
105526,Jan Lennard Struff,M,GER,1990
200005,Ugo Humbert,M,FRA,1998
106415,Yoshihito Nishioka,M,JPN,1995
105815,Tennys Sandgren,M,USA,1991
126203,Taylor Fritz,M,USA,1997
215018,Destanee Aiava,F,AUS,2000
201540,Kristina Mladenovic,F,FRA,1993
211279,Harriet Dart,F,GBR,1996
211880,Priscilla Hon,F,AUS,1998
201545,Anastasija Sevastova,F,LAT,1990
201611,Daria Gavrilova,F,AUS,1994
201520,Petra Kvitova,F,CZE,1990
203389,Danielle Rose Collins,F,USA,1993
204426,Anett Kontaveit,F,EST,1995
201521,Carla Suarez Navarro,F,ESP,1988
201615,Lesia Tsurenko,F,UKR,1989
202596,Mihaela Buzarnescu,F,ROU,1988
214040,Kimberly Birrell,F,AUS,1998
214082,Darya Kasatkina,F,RUS,1997
201662,Karolina Pliskova,F,CZE,1992
201709,Yulia Putintseva,F,KAZ,1994
213631,Marie Bouzkova,F,CZE,1998
201325,Samantha Stosur,F,AUS,1984
201548,Ajla Tomljanovic,F,AUS,1993
211701,Katerina Siniakova,F,CZE,1996
202427,Johanna Konta,F,GBR,1991
201585,Sloane Stephens,F,USA,1993
202428,Kiki Bertens,F,NED,1991
210722,Elise Mertens,F,BEL,1995
202499,Donna Vekic,F,CRO,1996
201517,Magdalena Rybarikova,F,SVK,1990
205925,Aliaksandra Sasnovich,F,BLR,1994
215713,Anastasia Potapova,F,RUS,2001
211768,Naomi Osaka,F,JPN,1997
202494,Elina Svitolina,F,UKR,1994
106216,Bjorn Fratangelo,M,USA,1993
117360,Marc Polmans,M,AUS,1997
124187,Reilly Opelka,M,USA,1997
105166,Peter Polansky,M,CAN,1988
106426,Cristian Garin,M,CHI,1996
106331,Christopher O'Connell,M,AUS,1994
105974,Maverick Banes,M,AUS,1993
105441,John Patrick Smith,M,AUS,1989
134329,Blake Ellis,M,AUS,2000
111153,Christopher Eubanks,M,USA,1996
105614,Bradley Klahn,M,USA,1991
216146,Marta Kostyuk,F,UKR,2002
201586,Heather Watson,F,GBR,1992
202424,Conny Perrin,F,SUI,1990
203530,Viktorija Golubic,F,SUI,1992
206362,Naiktha Bains,F,AUS,1997
211684,Magdalena Frech,F,POL,1997
211095,Bernarda Pera,F,USA,1994
203462,Kateryna Kozlova,F,UKR,1994
213530,Allie Kiick,F,USA,1995
214452,Caroline Dolehide,F,USA,1998
201556,Lucie Hradecka,F,CZE,1985
215337,Olga Danilovic,F,SRB,2000
201492,Andrea Petkovic,F,GER,1987
214863,Sofya Zhuk,F,RUS,2001
202484,Nicole Gibbs,F,USA,1994
211941,Zoe Hives,F,AUS,1998
201518,Yanina Wickmayer,F,BEL,1990
214096,Karolina Muchova,F,CZE,1996
211878,Lizette Cabrera,F,AUS,1997
215035,Dayana Yastremska,F,UKR,2000
201478,Varvara Lepchenko,F,USA,1986
201605,Mandy Minella,F,LUX,1985
201597,Kurumi Nara,F,JPN,1991
201447,Vania King,F,USA,1991
202600,Viktoriya Tomova,F,BUL,1995
206108,Jennifer Brady,F,USA,1995
201539,Christina Mchale,F,USA,1992
202434,Aleksandra Krunic,F,SRB,1993
105138,Roberto Bautista Agut,M,ESP,1988
104607,Tomas Berdych,M,CZE,1987
104925,Novak Djokovic,M,SRB,1987
106065,Marco Cecchinato,M,ITA,1992
105932,Nikoloz Basilashvili,M,GEO,1992
104527,Stan Wawrinka,M,SUI,1985
105583,Dusan Lajovic,M,SRB,1990
105732,Pierre Hugues Herbert,M,FRA,1991
105916,Marton Fucsovics,M,HUN,1991
126094,Andrey Rublev,M,RUS,1997
111797,Nicolas Jarry,M,CHI,1995
104198,Guillermo Garcia Lopez,M,ESP,1983
105575,Ricardas Berankis,M,LTU,1990
105550,Guido Pella,M,ARG,1990
104269,Fernando Verdasco,M,ESP,1983
109739,Maximilian Marterer,M,GER,1995
106000,Damir Dzumhur,M,BIH,1992
105657,Marius Copil,M,ROU,1990
104312,Andreas Seppi,M,ITA,1983
105077,Albert Ramos,M,ESP,1987
111575,Karen Khachanov,M,RUS,1996
104898,Robin Haase,M,NED,1987
122570,Mubarak Shannan Zayid,M,USA,1995
126610,Matteo Berrettini,M,ITA,1996
105676,David Goffin,M,BEL,1990
105173,Adrian Mannarino,M,FRA,1988
117356,Cem Ilkel,M,TUR,1995
104660,Sergiy Stakhovsky,M,UKR,1985
103893,Paolo Lorenzi,M,ITA,1981
104259,Philipp Kohlschreiber,M,GER,1983
105376,Peter Gojowczyk,M,GER,1989
106233,Dominic Thiem,M,AUT,1993
110602,Dennis Novak,M,AUT,1993
106325,Jabor Al Mutawa,M,USA,1996
104571,Marcos Baghdatis,M,CYP,1987
104586,Lukas Rosol,M,CZE,1985
104868,James Ward,M,GBR,1987
126237,Gian Marco Moroni,M,ITA,1998
105806,Mirza Basic,M,BIH,1991
104897,Matthias Bachinger,M,GER,1987
105477,Marco Trungelliti,M,ARG,1990
110476,Mousa Shanan Zayed,M,USA,1994
105063,Andrea Arnaboldi,M,ITA,1987
104731,Kevin Anderson,M,RSA,1986
103333,Ivo Karlovic,M,CRO,1979
104468,Gilles Simon,M,FRA,1984
104327,Steve Darcis,M,BEL,1985
144719,Jaume Munar,M,ESP,1997
105332,Benoit Paire,M,FRA,1989
104291,Malek Jaziri,M,TUN,1983
105208,Ernests Gulbis,M,LAT,1988
111513,Laslo Djere,M,SRB,1995
104620,Simone Bolelli,M,ITA,1987
125802,Ilya Ivashka,M,BLR,1994
106210,Jiri Vesely,M,CZE,1993
111581,Michael Mmoh,M,USA,1997
106368,Ramkumar Ramanathan,M,IND,1994
105539,Evgeny Donskoy,M,RUS,1990
111202,Hyeon Chung,M,KOR,1997
111459,Arjun Kadhe,M,IND,1993
104797,Denis Istomin,M,UZB,1986
105430,Radu Albot,M,MDA,1989
128034,Hubert Hurkacz,M,POL,1996
126156,Antoine Hoang,M,FRA,1995
106329,Thiago Monteiro,M,BRA,1994
106148,Roberto Carballes Baena,M,ESP,1993
105432,Prajnesh Gunneswaran,M,IND,1989
104719,Marcel Granollers,M,ESP,1988
104665,Pablo Andujar,M,ESP,1985
200000,Felix Auger Aliassime,M,CAN,2000
105155,Pedro Sousa,M,POR,1988
106078,Egor Gerasimov,M,BLR,1992
104593,Daniel Gimeno Traver,M,ESP,1985
105031,Saketh Myneni,M,IND,1989
105359,Jason Jung,M,TPE,1989
105413,Andrej Martin,M,SVK,1989
